Rank	Protein	Mean rank	Overlapping Proteins
83	ALK	123.1	RB1,TOP2A,LRRK2,PTPRO,FOXI1,HSPB1,SLC3A1,FMN2,SLC4A4,HSPD1,BLNK,MAP6,CA9,MYH10,TNS1,PDGFRB,RANBP2,PDGFRA,SLC12A3,CASR,MME,PKLR,EPHX2,IDH1,DCXR,PLCL1,SLC12A1,ANK2,PDZK1,PTPN13,HSPG2,DUSP9,SOD3,MLF1,PARD3B,APBB1IP,SLC9A3,CENPF,PLCB4,TH,PARD3,FDX1,PLCB1,DOCK2,ARHGEF7,MET
84	ERBB3	124.6	RB1,USP6NL,TOP2A,LAD1,LRRK2,HSPB1,PTH1R,GRB14,PRX,BLNK,CA9,NCKAP5,NEFH,TNS1,PDGFRB,PDGFRA,CASR,NPY1R,ANK2,ANK3,ANK1,HSPG2,DUSP9,CIT,PARD3B,APBB1IP,LATS2,PARD3,DPEP1,PLIN2,ALDOB,ARHGEF7,SLC25A5,MET,PLEC,TKFC,EPB41L1,EPB41L3,BSND,FAM83B,GSTM3,SLC12A3,CAV2,IDH1,SLC12A1,CGN,L1CAM,PTPN13,PLEKHA7,FABP1,VIL1,GJB1,NPHS1,LHX1,ACIN1,TJP3
85	CAMK2A	125.1	ALDH1L1,LRRK2,PTPRO,CALML3,SIPA1L2,ELFN2,TRIOBP,PCM1,GRB14,NOS1,DLGAP2,NEFH,CHGB,PDGFRB,PDGFRA,CASR,PARP4,DST,MAGI2,ANK2,ANK3,PDZK1,ATP1B1,OSMR,ANK1,CIT,PARD3B,GAP43,LATS2,PLCB4,MAP1B,PARD3,KCNMA1,PLCB1,ARHGEF7,SCG2,MET,ARHGEF6,PLEC,TAGLN,AHNAK,LRP2,RAP1GAP,DDN,EPB41L1,NPY,TCEAL2,MAP6,SPTBN2,RANBP2,MICAL3,MPP7,HNRNPK,TH
86	CSNK1A1	125.2	RB1,TOP2A,ATP6V1A,AHNAK,LRRK2,PTPRO,MT1X,CALML3,LRP2,RASAL3,HSPD1,PCM1,EPB41L1,EPB41L3,MYH10,NEFH,FAM83B,SPTBN2,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,MME,EPHX2,MAGI2,AP3D1,ZFP91,ANK2,CGN,ANK3,PTPN13,SOD3,ANK1,PLEKHA7,CIT,MZT2B,RSL1D1,HNRNPK,LATS2,PARD3,PPIF,SLC25A5,MET
87	PTK7	126.5	RB1,TOP2A,AHNAK,LRRK2,PTPRO,FMN2,SYNE2,KIF15,NPY,MYH10,TNS1,SPTBN2,PDGFRB,PDGFRA,PKLR,DST,PLCL1,MYO7B,MICAL3,AP3D1,NPY1R,ANK2,ANK3,PDZK1,PTPN13,HSPG2,ANK1,DUSP9,MPP7,CIT,PARD3B,PLCB4,PARD3,KIF4A,ATP6V1B2,ALPK2,PLCB1,MET,PLEC
88	MAPK10	126.6	RB1,MTCH2,LRRK2,FOXI1,HSPB1,FMN2,PHF8,GRB14,BLNK,NOS1,DLGAP2,NEFH,CHGB,TNS1,PDGFRB,PDGFRA,DAXX,DST,MAGI2,ANK2,ANK3,ATP1B1,DUSP9,ANK1,GAP43,PLCB4,MAP1B,KCNMA1,MAP7D2,PLIN2,PLCB1,ARHGEF7,SCG2,MET,PLEC,DDC,TBC1D9B,LRP2,PIK3R5,EPB41L1,NPY,TCEAL2,EPB41L3,MAP6,PCK1,GSTM3,MICAL3,PTPN13,HNRNPK,TH,GSTA1
89	PRKCI	127.1	CDKN1C,LRRK2,PTPRO,FMN2,TRIOBP,KIF15,PCM1,GRB14,PRX,SPDL1,TNS1,PDGFRB,PDGFRA,MAGI2,ANK3,PDZK1,PROX1,ATP1B1,ANK1,HSPG2,CIT,PARD3B,ILF3,LATS2,PLCB4,PARD3,DOCK2,ARHGEF7,PLCB1,MET,PLEC,ARHGEF6,AHNAK,SDCBP,EPB41L1,EPB41L3,MYH10,RANBP2,PKLR,PLCL1,MICAL3,CGN,PTPN13,PLEKHA7,MPP7,RSL1D1,TH,NPHS1,NPHS2,ACIN1,TJP3
90	AKT2	127.1	RB1,LAD1,SCARB1,LRRK2,PTPRO,HSPB1,KIF15,PHF8,GRB14,PRX,NOS1,ACAA1,TNS1,PDGFRB,PDGFRA,DAXX,MAGI2,ANK2,PDZK1,ANK3,ATP1B1,ANK1,HSPG2,DUSP9,PRODH2,CIT,PARD3B,APBB1IP,SLC9A3,ILF3,PLCB4,LATS2,PALLD,PARD3,PPIF,PLIN2,ALDOB,ARHGEF7,PLCB1,SCG2,MET,ARHGEF6,AHNAK,UHRF1,HSPD1,PIK3R5,NPY,PCK1,PCK2,RANBP2,GSTM3,PKLR,EPHX2,IDH1,PLCL1,AP3D1,PTPN13,SOD3,MPP7,FABP1,HNRNPK,TH,ACIN1,PFKP
91	LIMK1	127.2	RB1,CDKN1C,LRRK2,PTPRO,HSPB1,FMN2,TRIOBP,RAP1GAP,KIF15,SDCBP,ADGRG1,PDLIM2,NOS1,SPTBN2,TNS1,PDGFRB,PDGFRA,DAXX,PKLR,PLCL1,MAGI2,ANK2,PROX1,ANK3,PDZK1,L1CAM,PTPN13,ANK1,HSPG2,PRODH2,MPP7,CIT,PARD3B,LATS2,PLCB4,NPHS1,MAP1B,PARD3,LHX1,PITPNM3,KIF4A,CDHR2,LAMTOR1,ARHGEF7,PLCB1,ARHGEF6
92	FGFR3	127.4	RB1,CDKN1C,TOP2A,ALDH1L1,LRRK2,PTPRO,PTH1R,RAP1GAP,ADGRG1,GRB14,SALL3,BLNK,CA9,NOS1,CHGB,TNS1,SPTBN2,PDGFRB,PDGFRA,IRX2,CASR,DAXX,FCER1G,GK,IDH1,PLCL1,AP3D1,PROX1,ATP1B1,L1CAM,HSPG2,DUSP9,CIT,LATS2,PLCB4,NPHS1,LHX1,SLC25A5,PLCB1,DOCK2,MET
93	RIPK1	128.7	RB1,LRRK2,PTPRO,HSPB1,GRAMD4,BCLAF1,TNS1,PDGFRB,PDGFRA,DAXX,PKLR,PLCL1,USP2,ANK2,PDZK1,ANK3,OSMR,PTPN13,ANK1,HSPG2,MLF1,PARD3B,LATS2,PLCB4,NASP,PARD3,PPIF,ACIN1,SLC25A5,PLCB1,MET,ARHGEF6
94	CDK4	129.7	RB1,CDKN1C,TOP2A,LRRK2,PTPRO,FOXI1,HSPB1,MT1X,FMN2,PEPD,KIF15,BLNK,CA9,SPDL1,NEFH,TNS1,PDGFRB,PDGFRA,DAXX,PARP4,ANK2,ANK3,PROX1,OSMR,ANK1,DUSP9,CIT,ILF3,GAP43,LATS2,PITPNM3,MT1F,MT1G,SLC25A5,ARHGEF7,MET,RABL6,PLEC,ARHGEF6,ATP6V1A,UHRF1,NCAPG,WIZ,HSPD1,ADGRG1,PDLIM2,EPB41L1,IRX1,RANBP2,IRX2,IDH1,PTPN13,SOD3,VIL1,CENPF,HNRNPK,NASP,KIF4A,LHX1,ACIN1,LPIN2
95	DAPK3	130.2	RB1,PDGFRB,PDGFRA,DAXX,TAGLN,MTCH2,UHRF1,LRRK2,CALML3,CIT,AGMAT,PCM1,LATS2,GRB14,ALPK2,MET,MYH10,PLEC
96	ACVR2A	130.3	RB1,CDKN1C,LRRK2,PTPRO,FMN2,EPB41L3,NOS1,MYH10,TNS1,PDGFRB,PDGFRA,DAXX,CASR,PKLR,PLCL1,MAGI2,MYO7B,PDZK1,ATP1B1,PTPN13,HSPG2,CIT,PARD3B,HNRNPK,PLCB4,TH,PARD3,LHX1,KCNMA1,ACIN1,PLCB1
97	MAPK6	130.3	RB1,USP6NL,LAD1,MTCH2,LRRK2,PTPRO,HSPB1,CALML3,FMN2,SIPA1L2,AKAP12,TNS1,PDGFRB,PDGFRA,FCER1G,DST,MAGI2,ANK2,ANK3,ATP1B1,ANK1,DUSP9,CIT,SLC9A3,SLC9A4,LATS2,PLCB4,ILVBL,GPD1,SLC25A5,PLCB1,MET,ATP6V1A,RAP1GAP,HSPD1,BCLAF1,MYH10,RANBP2,AGXT2,PLCL1,AP3D1,PTPN13,SOD3,PLEKHA7,RSL1D1,HNRNPK,NPHS1,PSAT1
98	JAK2	130.5	RB1,USP6NL,CDKN1C,TOP2A,SCARB1,LRRK2,PTPRO,HSPB1,CALML3,FMN2,PCM1,GRB14,BLNK,CA9,NOS1,CHGB,TNS1,PDGFRB,PDGFRA,DAXX,CASR,FCER1G,MME,DCXR,NPY1R,ANK2,ANK3,PROX1,PDZK1,OSMR,ATP1B1,ANK1,DUSP9,HSPG2,CIT,PARD3B,ILF3,SLC9A4,LATS2,PLCB4,MAP1B,PARD3,CDHR2,KCNMA1,ARHGEF7,DOCK2,PLCB1,SCG2,MET,ARHGEF6,HSPD1,PIK3R5,SDCBP,BCLAF1,NPY,PCK1,PCK2,RANBP2,PKLR,IDH1,PLCL1,AP3D1,L1CAM,PTPN13,PLEKHA7,ASS1,FABP1,VIL1,GATM,HNRNPK,TH,NASP,NPHS1,LHX1,ACIN1,ACO1
99	PIK3CA	130.6	RB1,TOP2A,USP6NL,CDKN1C,LRRK2,FOXI1,CALML3,SYNE2,KIF15,BLNK,CA9,TNS1,PDGFRB,PDGFRA,DAXX,CASR,FCER1G,DCXR,MAGI2,ANK2,ANK3,ANK1,DUSP9,SLC9A3,GAP43,PLCB4,LATS2,PITPNM3,ATP6V1B2,PLCB1,ARHGEF7,DOCK2,MET,FBP2,ARHGEF6,PLEC,PIK3R5,PTDSS1,BCLAF1,TCOF1,EPB41L1,MYH10,RANBP2,IDH1,PLCL1,MICAL3,PTPN13,NPHS1,NPHS2,KIF4A
100	FRK	131.3	RB1,USP6NL,LRRK2,PTPRO,HSPB1,FMN2,FTCD,SDCBP,GRB14,COBLL1,BLNK,ACAA1,TNS1,SPTBN2,PDGFRB,PDGFRA,PKLR,DST,CAV2,PLCL1,ANK2,ANK3,PDZK1,ATP1B1,PTPN13,DUSP9,ANK1,HSPG2,MPP7,CIT,PARD3B,FABP1,SLC9A4,PLCB4,MAP1B,PARD3,KCNMA1,PLCB1,DOCK2,MET,PLEC
101	MARK2	132.1	AHNAK,LRRK2,HSPB1,SOGA1,SYNE2,TCOF1,DHX57,UBAP2L,SPDL1,NOS1,TNS1,PDGFRB,RANBP2,PDGFRA,AHNAK2,CGN,ATP1B1,ANK1,CIT,PARD3B,MZT2B,LATS2,TH,PARD3,MAP1B,KCNMA1,DOCK2,ARHGEF7,PLCB1,MET,ARHGEF6
102	PIK3CD	133.3	TOP2A,TAGLN,DDC,LRRK2,FOXI1,CALML3,RASAL3,PIK3R5,KIF15,BLNK,ACAA1,TNS1,PDGFRB,PDGFRA,FCER1G,PLCL1,MAGI2,MICAL3,ANK2,ANK3,ANK1,DUSP9,APBB1IP,PLCB4,TH,PITPNM3,KIF4A,ATP6V1B2,PLCB1,ARHGEF7,DOCK2,FBP1,MET,ARHGEF6
103	STK11	134	RB1,CDKN1C,TOP2A,ATP6V1A,TAGLN,LRRK2,CALML3,BICD1,PHF8,PCK1,TNS1,PCK2,CHGB,PDGFRB,RANBP2,PDGFRA,DAXX,IDH1,MAGI2,ANK2,ANK3,ANK1,DUSP9,MLF1,CIT,PARD3B,FABP1,SLC9A3,LATS2,HNRNPK,PALLD,PARD3,LHX1,GPD1,PPIF,ALDOB,LAMTOR1,FBP1,MET,FBP2,ARHGEF6
104	GRK5	134.4	RB1,TOR4A,ALDH1L1,LRRK2,CALML3,ARHGEF10L,PTH1R,SOGA1,RAP1GAP,BCLAF1,TCOF1,ZNF687,DLGAP2,MYH10,PDGFRB,RANBP2,PDGFRA,GSTM3,DAXX,CASR,PARP4,AP3D1,NPY1R,ANK2,ANK3,PROX1,ANK1,DUSP9,PLEKHA7,CIT,PARD3B,ILF3,LATS2,KCNMA1,ACIN1,DOCK2
105	TEC	134.7	RB1,LRRK2,PTPRO,FMN2,GRB14,BLNK,TNS1,PDGFRB,PDGFRA,FCER1G,PKLR,PLCL1,PDZK1,PTPN13,HSPG2,MPP7,CIT,PARD3B,LATS2,PLCB4,PARD3,ARHGEF7,DOCK2,PLCB1,MET,ARHGEF6
106	MAPK8	135.3	RB1,USP6NL,SCARB1,MTCH2,FOXI1,MT1X,MT2A,GRB14,ZNF687,CHGB,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MAGI2,ANK2,ANK3,ATP1B1,NPNT,ANK1,HSPG2,MAP1B,PARD3,MT1F,PPIF,MT1G,SCG2,TBC1D9B,NCAPG,RASAL3,RAP1GAP,PIK3R5,TGOLN2,SDCBP,EPB41L1,EPB41L3,PCK1,PCK2,GSTM3,CAV2,IDH1,L1CAM,VIL1,HNRNPK,GJB1,TH,ACO1,CDKN1C,ACY1,LRRK2,HSPB1,ARHGEF10L,FMN2,PEPD,SYNE2,PHF8,AKAP12,BLNK,CA9,NOS1,NEFH,PARP4,MME,DST,DCXR,ZFP91,PROX1,OSMR,DUSP9,CIT,APBB1IP,GAP43,PLCB4,LATS2,KCNMA1,PLIN2,ARHGEF7,PLCB1,DOCK2,MET,ARHGEF6,PLEC,TOR4A,TAGLN,DDC,AHNAK,UHRF1,WIZ,LRP2,HSPD1,BCLAF1,TCOF1,NPY,RANBP2,SLC12A3,AP3D1,PTPN13,SOD3,PLEKHA7,NPHS1,GSTA1,ACIN1,LPIN2
107	CHEK2	135.7	RB1,TOP2A,CDKN1C,CDCA2,UHRF1,LRRK2,NCAPG,HSPB1,BICD1,HSPD1,KIF15,PHF8,MT2A,BCLAF1,UBAP2L,MYH10,CHGB,TNS1,RANBP2,PDGFRB,IRX1,PDGFRA,DAXX,SLC6A19,PARP4,IDH1,WRNIP1,ANK2,SLC16A10,ANK3,L1CAM,ANK1,DUSP9,SOD3,CIT,CENPF,GAP43,ILF3,LATS2,HNRNPK,NASP,MAP1B,KIF4A,ACIN1,SCG2,MET
108	CDK3	138.2	RB1,CDKN1C,TOP2A,ATP6V1A,UHRF1,LRRK2,PTPRO,FOXI1,NCAPG,FMN2,HSPD1,KIF15,PDLIM2,TNS1,IRX1,IRX2,SLC13A3,AMT,ANK2,ANK3,PTPN13,ANK1,DUSP9,SOD3,CIT,SLC9A3,LATS2,NASP,PITPNM3,KIF4A,LHX1,LPIN2,MET
109	MAP2K4	138.3	RB1,RANBP2,SLC12A3,DAXX,FCER1G,LRRK2,HSPB1,PTPN13,DUSP9,AKAP12,PTDSS1,NPHS1,MAP1B,BLNK,ACO1,ALDOB,NOS1,ARHGEF7,MET,FBP2,TNS1
110	ABL2	138.3	RB1,SCARB1,LRRK2,PTPRO,FMN2,SIPA1L2,SDCBP,PDLIM2,GRB14,COBLL1,BLNK,MYH10,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,PKLR,PLCL1,MYO7B,ANK2,PDZK1,PROX1,PTPN13,HSPG2,MPP7,CIT,PARD3B,APBB1IP,LATS2,PLCB4,PARD3,CLDN16,DOCK2,PLCB1,ARHGEF7,MET,ARHGEF6,WRAP53,PLEC
111	PTK2B	138.6	RB1,LRRK2,PTPRO,HSPB1,ARHGEF10L,FMN2,TRIOBP,SYNE2,BLNK,UBAP2L,NOS1,DLGAP2,NEFH,TNS1,CHGB,PDGFRB,PDGFRA,DAXX,FCER1G,USP2,MYO7B,ATP1B1,DUSP9,ANK1,CIT,APBB1IP,SLC9A3,LATS2,MAP1B,PARD3,PITPNM3,KCNMA1,PLIN2,ALDOB,ARHGEF7,PLCB1,DOCK2,SCG2,MET,ARHGEF6,PLEC,TBC1D9B,RASAL3,RAP1GAP,HSPD1,PDLIM2,EPB41L1,EPB41L3,SPTBN2,GSTM3,PKLR,L1CAM,PLEKHA7,HNRNPK,TH,NASP,TJP3
112	BRAF	139.5	RB1,TOP2A,LRRK2,PTPRO,HSPB1,GRAMD4,RAP1GAP,GRB14,NEFH,TNS1,PDGFRB,PDGFRA,DAXX,PARP4,PKLR,IDH1,PLCL1,MAGI2,PDZK1,ATP1B1,PTPN13,HSPG2,CIT,PARD3B,APBB1IP,SLC9A3,SLC9A4,LATS2,PLCB4,PARD3,ARHGEF7,PLCB1,DOCK2,MET,FBP1,SLC27A2,RABL6,ARHGEF6
113	TNK1	139.8	PDGFRB,PDGFRA,LRRK2,DUSP9,PIK3R5,ILF3,LATS2,NASP,ILVBL,CDHR2,LAMTOR1,PCK1
114	RET	139.9	RB1,CDKN1C,TOP2A,DDC,AHNAK,LRRK2,RAP1GAP,PCM1,GRB14,TCOF1,NPY,BLNK,CA9,NOS1,NEFH,TNS1,PDGFRB,PDGFRA,IRX2,CASR,PKLR,IDH1,DCXR,PLCL1,AP3D1,PDZK1,L1CAM,OSMR,NPNT,PTPN13,HSPG2,PLEKHA7,GAP43,GJB1,PLCB4,HNRNPK,TH,NPHS1,MAP1B,LHX1,ARHGEF7,PLCB1,DOCK2,MET,ARHGEF6
115	MYLK	140.7	RB1,TAGLN,AHNAK,HSPB1,CALML3,FMN2,SLC4A4,SYNE2,AKAP12,NPY,NOS1,MYH10,TNS1,PDGFRB,PDGFRA,CASR,PARP4,DST,CAV2,DCXR,PLCL1,MYO7B,MICAL3,ANK2,ANK3,CGN,ANK1,HSPG2,SOD3,CIT,SLC9A3,GAP43,LATS2,GJB1,PLCB4,DDAH1,PALLD,MAP1B,PARD3,KCNMA1,ALPK2,ARHGEF7,PLCB1,TJP3,PLEC
116	CSNK1E	141	USP6NL,AHNAK,LRRK2,CALML3,ARHGEF10L,RASAL3,HSPD1,PCM1,CSPP1,NEFH,FAM83B,SPTBN2,PDGFRB,RANBP2,PDGFRA,DAXX,PARP4,PLCL1,USP2,MAGI2,AP3D1,WRNIP1,ATP1B1,PTPN13,ANK1,DUSP9,SOD3,PLEKHA7,CIT,PARD3B,FABP1,MZT2B,ILF3,LATS2,PLCB4,HNRNPK,TH,PARD3,PPIF,SLC25A5,FBP1,MET
117	TRPM7	141.1	SLC12A3,CASR,SLC13A3,MME,SLC12A1,ANK2,PROX1,ANK3,SLC4A4,ANK1,TH,NPHS1,NPHS2,KCNMA1,BSND,CLDN16,PLCB1,MYH10,SPTBN2
118	JAK3	143.2	RB1,LRRK2,PTPRO,FMN2,RASAL3,PIK3R5,PCM1,GRB14,NPY,BLNK,TNS1,PDGFRB,PDGFRA,DAXX,FCER1G,PKLR,IDH1,PLCL1,USP2,ANK2,WRNIP1,ANK3,PDZK1,OSMR,PTPN13,ANK1,HSPG2,CIT,PARD3B,VIL1,LATS2,PLCB4,PARD3,KCNMA1,PLCB1,DOCK2,MET,ARHGEF6
119	TYK2	143.9	USP6NL,LRRK2,PTPRO,HSPB1,WIZ,CALML3,FMN2,RASAL3,PCM1,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,PKLR,PLCL1,PDZK1,OSMR,PTPN13,HSPG2,PARD3B,SLC9A4,ILF3,HNRNPK,PLCB4,PARD3,KCNMA1,PLCB1,MET,PLEC
120	PIP4K2C	144.6	ATP6V1A,PLCB4,GK,PITPNM3,PLCL1,EPB41L3,LZTS2,PLCB1,MYH10,PFKP
121	FGR	145.5	AHNAK,LRRK2,PTPRO,HSPB1,FMN2,RASAL3,TRIOBP,PIK3R5,GRB14,EPB41L3,BLNK,MAP6,TNS1,PDGFRB,PDGFRA,FCER1G,PKLR,PLCL1,MYO7B,PDZK1,PTPN13,L1CAM,HSPG2,MPP7,PARD3B,APBB1IP,HNRNPK,PLCB4,LATS2,NPHS1,PARD3,KCNMA1,ACIN1,ARHGEF7,DOCK2,PLCB1,MET,ARHGEF6
122	ROCK1	145.9	RB1,CDKN1C,LRRK2,PTPRO,FMN2,TRIOBP,KIF15,PCM1,GRB14,PRX,CA9,SPDL1,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,DST,MME,MAGI2,NPY1R,ANK2,ANK3,PDZK1,ATP1B1,ANK1,HSPG2,DUSP9,CIT,PARD3B,SLC9A3,GAP43,PLCB4,LATS2,PALLD,PARD3,MAP1B,PPIF,ARHGEF7,DOCK2,SLC25A5,PLCB1,MET,RABL6,ARHGEF6,PLEC,TAGLN,AHNAK,HSPD1,TGOLN2,SDCBP,BCLAF1,EPB41L1,MYH10,SPTBN2,RANBP2,PKLR,CAV2,PLCL1,CGN,L1CAM,PTPN13,PLEKHA7,MPP7,VIL1,HNRNPK,NPHS1,ACIN1,TJP3
123	MAP3K5	146.7	RB1,USP6NL,LRRK2,HSPB1,RASAL3,PIK3R5,BCLAF1,NOS1,NEFH,TNS1,PDGFRB,PDGFRA,GSTM3,DAXX,AHNAK2,PTPN13,DUSP9,SOD3,CIT,LATS2,TH,PITPNM3,GSTA1,PPIF,DOCK2,MET,LPIN2,ARHGEF6
124	OXSR1	147.4	ATP6V1A,SLC12A3,LRRK2,SLC12A1,NPY1R,NCAPG,ASS1,CIT,PARD3B,LATS2,PSAT1,KCNMA1,ATP6V1B2,ARHGEF7,ACAA1,SLC25A5,MYH10,PFKP
125	PI4KA	148.5	TOP2A,ATP6V1A,SCARB1,LRRK2,CALML3,PIK3R5,KIF15,TGOLN2,PTDSS1,NEFH,MYH10,SPTBN2,TNS1,GK,DST,PLCL1,USP2,ANK2,ANK3,ANK1,DUSP9,CIT,FABP1,PLCB4,PITPNM3,KIF4A,ATP6V1B2,ACIN1,PLIN2,PLCB1,MET,RABL6,PLEC
126	PDPK1	148.8	RB1,TOP2A,AHNAK,LRRK2,PTPRO,HSPB1,TRIOBP,PIK3R5,GRB14,EPB41L1,EPB41L3,TNS1,PCK2,RANBP2,PDGFRB,PDGFRA,DAXX,DCXR,ANK3,PDZK1,HDHD2,L1CAM,PTPN13,ANK1,DUSP9,HSPG2,PLEKHA7,CIT,PARD3B,RSL1D1,ILF3,LATS2,HNRNPK,PARD3,KCNMA1,ACIN1,PLIN2,ARHGEF7,PLCB1,MET,PLEC,RABL6,ARHGEF6
127	MAP3K21	151	RB1,LRRK2,PTPRO,GRB14,PDGFRB,PDGFRA,DAXX,PKLR,PLCL1,ANK2,CGN,ANK3,PDZK1,PTPN13,DUSP9,ANK1,HSPG2,PLEKHA7,MLF1,CIT,PARD3B,LATS2,PLCB4,PARD3,ARHGEF7,PLCB1,ARHGEF6
128	KSR1	151.3	RB1,LRRK2,PTPRO,HSPB1,PEPD,AKAP12,PCM1,EPB41L3,MAP6,SPTBN2,TNS1,PDGFRB,PDGFRA,PKLR,IDH1,PLCL1,AP3D1,CGN,ANK3,PDZK1,PTPN13,HSPG2,DUSP9,PLEKHA7,CIT,PARD3B,APBB1IP,SLC9A3,SLC9A4,PLCB4,PARD3,FDX1,ARHGEF7,PLCB1,DOCK2,SLC27A2,ARHGEF6
129	MAPKAPK2	151.6	RB1,PDGFRB,PDGFRA,DAXX,AHNAK,UHRF1,LRRK2,HSPB1,PTPN13,RAP1GAP,CIT,SDCBP,HNRNPK,LATS2,TH,PARD3,NOS1,ARHGEF7,NEFH,MET,ARHGEF6
130	MAST3	151.8	PDGFRB,PDGFRA,DAXX,LRRK2,MAGI2,AP3D1,ANK2,CGN,PTPN13,ANK1,DUSP9,MPP7,PLEKHA7,RAP1GAP,CIT,LATS2,PARD3,PRX,NOS1,ARHGEF7,TNS1
131	GSK3A	152.7	RB1,CRYBG1,LRRK2,PTPRO,FOXI1,ACSM2A,HSPB1,CALML3,FMN2,BICD1,ACSM2B,GRB14,BLNK,ACAA1,NEFH,TNS1,PDGFRB,PDGFRA,FCER1G,MME,DST,MYO7B,ANK2,ANK3,PDZK1,DUSP9,ANK1,HSPG2,CIT,PARD3B,LATS2,PLCB4,MAP1B,PARD3,GPD1,PPIF,ALPK2,ALDOB,PLCB1,ARHGEF7,FBP1,MET,FBP2,PLEC,ARHGEF6,WIZ,LRP2,BCLAF1,PCK2,RANBP2,PKLR,PLCL1,AP3D1,PTPN13,SOD3,MPP7,PLEKHA7,HNRNPK,KIF4A,ACIN1,PFKP
132	NEK2	153.1	RB1,TOP2A,CDCA2,UHRF1,LRRK2,NCAPG,RASAL3,TRIOBP,KIF15,PCM1,EPB41L3,SPDL1,TNS1,PDGFRB,PDGFRA,GSTM3,SLC6A19,CAV2,MYO7B,ANK2,ANK3,ANK1,SOD3,MPP7,CIT,MZT2B,CENPF,ILF3,LATS2,NASP,KIF4A,FDX1,PLCB1,MET
133	BUB1B	153.3	RB1,TOP2A,CDKN1C,CDCA2,UHRF1,LRRK2,NCAPG,HSPB1,FMN2,KIF15,SPDL1,NEFH,DLGAP2,MYH10,PDGFRB,RANBP2,DAXX,PLCL1,MYO7B,WRNIP1,CIT,CENPF,ILF3,LATS2,PLCB4,NASP,PSAT1,KIF4A,PLCB1
134	SRMS	153.4	PDGFRB,PDGFRA,PKLR,LRRK2,PLCL1,PTPRO,MYO7B,HSPB1,PDZK1,FMN2,PTPN13,HSPG2,PARD3B,APBB1IP,NHSL2,LATS2,PLCB4,PARD3,BLNK,PLCB1,MET,TJP3,TNS1
135	PRKAA1	153.5	RB1,PECR,LRRK2,PTPRO,FOXI1,CALML3,TRIOBP,PHF8,BLNK,UBAP2L,NOS1,ACAA1,NEFH,TNS1,PDGFRB,PDGFRA,DAXX,USP2,WRNIP1,ANK2,ANK3,PROX1,ATP1B1,OSMR,ANK1,DUSP9,CIT,BDH2,PLCB4,LATS2,PARD3,KCNMA1,GPD1,PLIN2,SLC25A5,MET,FBP1,FBP2,ATP6V1A,HSPD1,PIK3R5,NPY,PCK1,MYH10,SPTBN2,PCK2,RANBP2,PKLR,SLC12A1,CGN,PTPN13,FABP1,HNRNPK,SUCLA2,NASP,KIF4A,LAMTOR1,LPIN2,PFKP
136	HIPK2	153.6	RB1,CDKN1C,TOP2A,UHRF1,LRRK2,WIZ,FMN2,MT2A,NHS,LZTS2,DLGAP2,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,GK,IDH1,ANK2,PROX1,ANK3,DUSP9,ANK1,CIT,ILF3,HNRNPK,LATS2,NPHS1,LHX1,KCNMA1,ARHGEF6
137	CDK5	153.7	RB1,CDKN1C,TOP2A,LRRK2,PTPRO,FOXI1,HSPB1,CALML3,BICD1,TRIOBP,PHF8,PRX,BLNK,UBAP2L,NOS1,NEFH,TNS1,PDGFRB,PDGFRA,DAXX,PARP4,MME,USP2,MAGI2,ZFP91,ANK2,ANK3,PDZK1,PROX1,ANK1,HSPG2,CIT,PARD3B,GAP43,LATS2,PALLD,MAP1B,PARD3,KCNMA1,ATP6V1B2,PPIF,ARHGEF7,PLCB1,MET,RABL6,ARHGEF6,DDC,TBC1D9B,AHNAK,UHRF1,NCAPG,RAP1GAP,HSPD1,SDCBP,EPB41L1,NPY,EPB41L3,PCK1,MYH10,SPTBN2,PCK2,RANBP2,IRX1,GSTM3,AP3D1,L1CAM,PTPN13,PLEKHA7,MPP7,ASS1,TH,NPHS1,LHX1,GSTA1,ACIN1
138	IKBKB	153.8	RB1,LAD1,LRRK2,PTPRO,HSPB1,TRIOBP,HSPD1,PIK3R5,PDLIM2,GRB14,NPY,BLNK,NOS1,MYH10,TNS1,RANBP2,PDGFRB,PDGFRA,DAXX,FCER1G,PKLR,EPHX2,IDH1,PLCL1,USP2,MAGI2,SORD,ANK3,PDZK1,PTPN13,HSPG2,SOD3,ASS1,CIT,PARD3B,APBB1IP,SLC9A4,ILF3,LATS2,PLCB4,MAP1B,PARD3,GSTA1,ACIN1,ARHGEF7,PLCB1
